id,title,source,last_modified,corpus_path,source_path,corpus,source_family,document_type,audience,archived,bytes,video_source
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032mb-jan-t4032mb-january-general-information,"Payroll Deductions Tables - CPP, EI, and income tax deductions - Manitoba",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032mb-jan/t4032mb-january-general-information.html,2025-12-17,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032mb-jan/t4032mb-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032mb-jan/t4032mb-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,34679,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032nb-jan,"T4032NB Payroll Deductions Tables - CPP, EI, and income tax deductions - New Brunswick - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nb-jan.html,2025-12-29,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nb-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032nb-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3407,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032nb-jan-t4032nb-january-general-information,"Payroll Deductions Tables - CPP, EI, and income tax deductions - New Brunswick",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nb-jan/t4032nb-january-general-information.html,2025-12-17,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nb-jan/t4032nb-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032nb-jan/t4032nb-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,34142,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032nl-jan,"T4032NL Payroll Deductions Tables - CPP, EI, and income tax deductions - Newfoundland and Labrador - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nl-jan.html,2025-12-29,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nl-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032nl-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3455,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032nl-jan-t4032nl-january-general-information,"Payroll Deductions Tables - CPP, EI, and income tax deductions - Newfoundland and Labrador",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nl-jan/t4032nl-january-general-information.html,2025-12-17,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nl-jan/t4032nl-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032nl-jan/t4032nl-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,34474,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032ns-jan,"T4032NS Payroll Deductions Tables - CPP, EI, and income tax deductions - Nova Scotia - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032ns-jan.html,2024-12-16,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032ns-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032ns-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3398,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032ns-jan-t4032ns-january-general-information,"Payroll Deductions Tables - CPP, EI, and income tax deductions - Nova Scotia",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032ns-jan/t4032ns-january-general-information.html,2025-12-17,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032ns-jan/t4032ns-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032ns-jan/t4032ns-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,34361,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032nt-jan,"T4032NT Payroll Deductions Tables - CPP, EI, and income tax deductions - Northwest Territories - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nt-jan.html,2024-12-16,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nt-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032nt-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3441,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032nt-jan-t4032nt-january-general-information,"Payroll Deductions Tables - CPP, EI, and income tax deductions - Northwest Territories",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nt-jan/t4032nt-january-general-information.html,2025-12-17,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nt-jan/t4032nt-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032nt-jan/t4032nt-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,34358,
corpus-cra-forms-publications-payroll-t4032-payroll-deductions-tables-t4032nu-jan,"T4032NU Payroll Deductions Tables - CPP, EI, and income tax deductions - Nunavut - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nu-jan.html,2024-12-16,corpus/cra/forms-publications/payroll/t4032-payroll-deductions-tables/t4032nu-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4032-payroll-deductions-tables/t4032nu-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3386,
